,Title,Subtitle,Link
0,HAPPY BLUE YEAR Enzo Fernandez's ex-fiancee flies to London to spend NYE with Chelsea star,THE Blues midfielder stunned everyone including the pretty brunette by telling her earlier this year he wanted to end their six-year relationship.,https://www.thesun.co.uk/sport/32513884/enzo-fernandez-valentina-cervantes-new-year-chelsea/
1,JIM BIG TROUBLE Man Utd staring £10million black hole in the face as Ratcliffe cuts costs,"FANS appalled to discover the Old Trafford club has terminated £40,000 of payments to a charity helping some of its older players",https://www.thesun.co.uk/sport/32515322/man-utd-10m-penalty-charity-cuts/
2,WIFE MATERIAL Cristiano Ronaldo's slip of the tongue sparks Georgina relationship rumours,THE superstar singer was in north London to watch on as Arsenal jumped back up to second place in the Premier League thanks to a 1-0 victory over Ipswich Town.,https://www.thesun.co.uk/sport/32513329/cristiano-ronaldo-calls-georgina-rodriguez-wife-awards/
3,BUKAYO BLOW Saka undergoes surgery and set for months out in huge Arsenal injury blow,A gunman shot his pistol at a footballer during a mass brawl at a teenage match in Argentina.,https://www.thesun.co.uk/sport/32511012/bukayo-saka-surgery-mikel-arteta-arsenal-injury-ipswich/
4,NYD DRAW Win a Lamborghini or £300k cash alternative from just 71p with our discount code,SUPERSTAR believes the problems at the club run deeper than whichever manager is in charge.,https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
5,MEAN UNITED Man Utd fans blast Jim Ratcliffe after he cuts £40k donation to club charity,GUNNERS took the lead midway through the first half through German's close-range finish. They did not add to their tally but it was enough for an important three points.,https://www.thesun.co.uk/sport/32507962/manchester-united-sir-jim-ratcliffe-charity-donations/
6,RON THE MOVE? Ronaldo opens door to shock Man City transfer with cryptic reply to question,THE Red Devils spent Christmas in the bottom half of the Premier League table for the first time. But how might they fare come the end of the season?,https://www.thesun.co.uk/sport/32514796/transfer-news-cristiano-ronaldo-man-city/
7,COUNT ON ROO Wayne Rooney breaks silence on facing sack with Argyle's form the worst in EFL,"MAN City star's kids race round his Cheshire mansion’s garden in electric Christmas gifts modelled on his own £200,000 car",https://www.thesun.co.uk/sport/32504254/wayne-rooney-plymouth-argyle-sack/
8,RU'D AWAKENING Amorim concerned with Onana as Man Utd boss plots keeper signing,JUVENTUS have rejected an offer to sign Rashford. The Serie A giants are instead keen on Rashford's Man Utd team-mate.,https://www.thesun.co.uk/sport/32506485/ruben-amorim-andre-onana-transfer-senne-lammens/
9,GONE TO POTT Stoke sack manager after just three months in ruthless Christmas axing,BOSS gives shock response when asked about his on-pitch targets this season. And he explained where he reckons the Red Devils went wrong at Wolves.,https://www.thesun.co.uk/sport/32507884/stoke-sack-narcis-pelach-efl/
